Aldrig Mer (feat. TENDER),49.0,243918.0,0.0649,0.359,0.774,0.104,7.0,0.11,-5.789,1,0.0745,4,0.141
Te Estan Buscando,46.0,388160.0,0.576,0.796,0.65,0.0,4.0,0.0948,-6.642,0,0.0403,4,0.901
"Don't You Need Somebody (feat. Enrique Iglesias, R. City, Serayah & Shaggy)",59.0,207719.0,0.247,0.69,0.702,0.0,11.0,0.262,-6.103,1,0.0901,4,0.611
Fuh You,68.0,203719.0,0.0071,0.59,0.781,0.0,0.0,0.191,-5.42,1,0.0299,4,0.656
Bruce Wayne,50.0,145085.0,0.0397,0.749,0.564,0.0,8.0,0.103,-2.891,1,0.112,4,0.0495
SOPRANO,48.0,166693.0,0.0328,0.78,0.493,0.0,5.0,0.218,-5.994,0,0.296,4,0.22
Before I Knew What Love Was,50.0,303226.0,0.182,0.243,0.851,0.0176,4.0,0.294,-3.516,1,0.0624,4,0.327
Good Intentions,49.0,167360.0,0.123,0.648,0.652,4.0E-4,9.0,0.117,-8.156,0,0.0811,4,0.464
Keep On Going,46.0,160403.0,0.892,0.714,0.351,0.346,7.0,0.0717,-10.145,1,0.0707,4,0.243
emerald,5.0,154074.0,0.368,0.776,0.171,0.87,3.0,0.111,-12.828,0,0.0897,4,0.0764
Song That I Heard,59.0,237666.0,0.773,0.267,0.356,0.0018,8.0,0.167,-12.103,1,0.0317,4,0.314
Dance With Me,34.0,231800.0,0.0334,0.809,0.818,0.0026,1.0,0.196,-3.432,0,0.0373,4,0.632
Shadow of Your Love,56.0,156456.0,1.0E-4,0.505,0.844,0.361,9.0,0.128,-5.242,1,0.0282,4,0.24
Dynamite,76.0,202613.0,0.0038,0.751,0.783,0.0,4.0,0.036,-3.724,1,0.0859,4,0.816
Waiting,41.0,198972.0,0.13,0.502,0.745,0.0,8.0,0.325,-8.614,0,0.426,4,0.656
Finesse (Remix) [feat. Cardi B],84.0,217288.0,0.0185,0.704,0.859,0.0,5.0,0.0215,-4.877,0,0.0996,4,0.926
Rock And Roll All Nite,31.0,168733.0,0.046,0.656,0.931,0.0,1.0,0.0543,-5.827,1,0.0976,4,0.909
It's The End Of The World As We Know It (And I Feel Fine),47.0,246973.0,0.0242,0.566,0.893,0.0,7.0,0.0343,-8.88,1,0.0309,4,0.774
